schemeCode,schemeName,isinGrowth,isinDivReinvestment
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5
100068,BARODA ELSS 96 - Plan A - IDCW,,
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,INF740K01029
100151,Principal Retail Equity Savings Fund - Growth Option,,
100154,Principal Equity Fund-Dividend,,
100155,Principal Equity Fund-Growth,,
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,INF966L01119,
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,
100176,quant Small Cap Fund - IDCW Option - Regular Plan,INF206A01022,INF966L01044
100177,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,
100188,ING Core Equity Fund-Dividend Option,,
100189,ING Core Equity Fund-Growth Option,,
100218,JM Large Cap Fund (Regular) - IDCW ,INF192K01585,INF192K01593
100219,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,INF767K01063,INF767K01055
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071,
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,INF767K01097,INF767K01089
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,INF109K01EQ7,INF109K01449
100349,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431,
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,
100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,INF109K01FN1,INF109K01472
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464,
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,INF109K01DX5,INF109K01498
100356,ICICI Prudential Equity & Debt Fund - Growth,INF109K01480,
100375,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,INF204K01299,INF204K01307
100376,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,INF204K01315,
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,INF204K01323,
100381,UTI Large Cap Fund-Income Option,,
100382,UTI Large Cap Fund-Growth Option,,
100470,Franklin India Large Cap Fund - IDCW,INF090I01155,INF090I01163
100471,Franklin India Large Cap Fund-Growth,INF090I01171,
100472,Franklin India Mid Cap Fund - IDCW,INF090I01726,INF090I01734
100473,Franklin India Mid Cap Fund-Growth,INF090I01809,
100474,Tata ELSS Fund- Regular Plan - Payout of IDCW Option,INF277K01I60,
100475,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989,
100477,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815,
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9,
100519,Franklin India Flexi Cap Fund - IDCW ,INF090I01213,INF090I01221
